Date,From,To,Distance (mi),Duration (hrs)
2024-08-09 04:12,"Mercer Island, United States","Bend, United States",240.98,15.02
2024-08-11 18:31,"Bend, United States","Sunriver, United States",15.06,0.72
2024-08-11 20:13,"Sunriver, United States","Bend, United States",20.06,1.07
2024-08-14 19:51,"Bend, United States","Terrebonne, United States",12.09,0.43
2024-08-14 20:49,"Terrebonne, United States","Madras, United States",19.44,0.96
2024-08-14 21:26,"Madras, United States","None, United States",48.08,0.62
2024-08-14 23:20,"None, United States","Hood River, United States",35.69,1.9
2024-08-15 17:41,"Hood River, United States","The Dalles, United States",11.91,0.43
2024-08-15 18:12,"The Dalles, United States","Toppenish, United States",67.58,0.09
2024-08-15 20:00,"Toppenish, United States","Union Gap, United States",15.43,1.8
2024-08-18 18:11,"Yakima, United States","Cle Elum, United States",46.04,0.36
2024-08-18 19:21,"Cle Elum, United States","Mercer Island, United States",62.8,0.15
2024-08-23 17:20,"Mercer Island, United States","Roche Harbor, United States",81.66,36.89
2024-08-24 18:25,"Roche Harbor, United States","Juan de Fuca Electoral Area, Canada",16.8,10.42
2024-08-25 18:03,"Victoria, Canada","None, Canada",27.81,0.29
2024-08-26 20:52,"None, Canada","Vancouver, Canada",30.4,3.87
2024-08-28 17:05,"Vancouver, Canada","Salt Spring Island Electoral Area, Canada",34.6,1.65
2024-08-29 22:24,"Salt Spring Island Electoral Area, Canada","Southern Gulf Islands Electoral Area, Canada",15.93,3.9
2024-08-30 17:17,"Sidney, Canada","None, United States",10.45,14.08
2024-08-31 18:53,"Roche Harbor, United States","Seattle, United States",87.88,1.07
2024-09-01 21:02,"Seattle, United States","Roche Harbor, United States",88.12,1.0
